ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
BIRLAMONEY.NS,BIRLAMONEY,Aditya Birla Money Limited,Financial Services,Capital Markets,8424391680,INR,NSE,EQUITY,
BLAL.NS,BLAL,BEML Land Assets Limited,Financial Services,Shell Companies,8509637120,INR,NSE,EQUITY,
BLBLIMITED.NS,BLBLIMITED,BLB Limited,Financial Services,Capital Markets,792450176,INR,NSE,EQUITY,
BSE.NS,BSE,BSE Limited,Financial Services,Financial Data & Stock Exchanges,1058331754496,INR,NSE,EQUITY,
CANBK.NS,CANBK,Canara Bank,Financial Services,Banks - Regional,1334927687680,INR,NSE,EQUITY,
CANFINHOME.NS,CANFINHOME,Can Fin Homes Limited,Financial Services,Mortgage Finance,122042417152,INR,NSE,EQUITY,
CANHLIFE.NS,CANHLIFE,CANARA HSBC LIFE INS CO L,Financial Services,Insurance - Life,118867345408,INR,NSE,EQUITY,
CAPITALSFB.NS,CAPITALSFB,Capital Small Finance Bank Limited,Financial Services,Banks - Regional,11863384064,INR,NSE,EQUITY,
CAPTRUST.NS,CAPTRUST,Capital Trust Limited,Financial Services,Credit Services,409394304,INR,NSE,EQUITY,
CARERATING.NS,CARERATING,CARE Ratings Limited,Financial Services,Financial Data & Stock Exchanges,46334623744,INR,NSE,EQUITY,
CDSL.NS,CDSL,Central Depository Services (India) Limited,Financial Services,Capital Markets,313750781952,INR,NSE,EQUITY,
CENTRALBK.NS,CENTRALBK,Central Bank of India,Financial Services,Banks - Regional,327117635584,INR,NSE,EQUITY,
CENTRUM.NS,CENTRUM,Centrum Capital Limited,Financial Services,Financial Conglomerates,12925560832,INR,NSE,EQUITY,
CGCL.NS,CGCL,Capri Global Capital Limited,Financial Services,Credit Services,174159495168,INR,NSE,EQUITY,
CHOICEIN.NS,CHOICEIN,Choice International Limited,Financial Services,Capital Markets,168584839168,INR,NSE,EQUITY,
CHOLAFIN.NS,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1447546322944,INR,NSE,EQUITY,
