ticker,symbol,name,sector,industry,marketCapCr
SHOPERSTOP.NS,SHOPERSTOP,"Shoppers Stop Limited","Consumer Cyclical","Department Stores",4888
DATAMATICS.NS,DATAMATICS,"Datamatics Global Services Limited","Technology","Information Technology Services",4879
IONEXCHANG.NS,IONEXCHANG,"Ion Exchange (India) Limited","Industrials","Pollution & Treatment Controls",4874
ZAGGLE.NS,ZAGGLE,"Zaggle Prepaid Ocean Services Limited","Technology","Software - Infrastructure",4873
INDOTHAI.NS,INDOTHAI,"Indo Thai Securities Limited","Financial Services","Capital Markets",4862
LXCHEM.NS,LXCHEM,"Laxmi Organic Industries Limited","Basic Materials","Specialty Chemicals",4769
GMMPFAUDLR.NS,GMMPFAUDLR,"GMM Pfaudler Limited","Industrials","Specialty Industrial Machinery",4733
PTC.NS,PTC,"PTC India Limited","Utilities","Utilities - Independent Power Producers",4725
STLTECH.NS,STLTECH,"Sterlite Technologies Limited","Technology","Communication Equipment",4723
VRLLOG.NS,VRLLOG,"VRL Logistics Limited","Industrials","Trucking",4716
OPTIEMUS.NS,OPTIEMUS,"Optiemus Infracom Limited","Technology","Electronics & Computer Distribution",4694
ITDC.NS,ITDC,"India Tourism Development Corporation Limited","Consumer Cyclical","Lodging",4691
TVSSCS.NS,TVSSCS,"TVS Supply Chain Solutions Limited","Industrials","Integrated Freight & Logistics",4676
AGI.NS,AGI,"AGI Greenpac Limited","Consumer Cyclical","Packaging & Containers",4671
SIS.NS,SIS,"SIS Limited","Industrials","Security & Protection Services",4656
KRN.NS,KRN,"KRN HEAT EXCHANGE N REF L","Technology","Electronic Components",4651
SUNFLAG.NS,SUNFLAG,"Sunflag Iron and Steel Company Limited","Basic Materials","Steel",4636
CARERATING.NS,CARERATING,"CARE Ratings Limited","Financial Services","Financial Data & Stock Exchanges",4633
STYL.NS,STYL,"SESHAASAI TECHNOLOGIES L","Technology","Software - Infrastructure",4620
UNIMECH.NS,UNIMECH,"UNIMECH AEROSPACE N MFG L","Industrials","Aerospace & Defense",4618
ELECTCAST.NS,ELECTCAST,"Electrosteel Castings Limited","Industrials","Building Products & Equipment",4601
DBCORP.NS,DBCORP,"D. B. Corp Limited","Communication Services","Publishing",4559
KMEW.NS,KMEW,"Knowledge Marine & Engineering Works Limited","Industrials","Marine Shipping",4538
BANARISUG.NS,BANARISUG,"Bannari Amman Sugars Limited","Consumer Defensive","Confectioners",4515
JSFB.NS,JSFB,"Jana Small Finance Bank Limited","Financial Services","Banks - Regional",4512
SWARAJENG.NS,SWARAJENG,"Swaraj Engines Limited","Consumer Cyclical","Auto Parts",4489
INDRAMEDCO.NS,INDRAMEDCO,"Indraprastha Medical Corporation Limited","Healthcare","Medical Care Facilities",4486
RPEL.NS,RPEL,"Raghav Productivity Enhancers Limited","Basic Materials","Chemicals",4415
ANUP.NS,ANUP,"The Anup Engineering Limited","Industrials","Specialty Industrial Machinery",4411
TARC.NS,TARC,"TARC Limited","Real Estate","Real Estate - Development",4399
ROUTE.NS,ROUTE,"Route Mobile Limited","Communication Services","Telecom Services",4382
ENTERO.NS,ENTERO,"Entero Healthcare Solutions Limited","Healthcare","Medical Distribution",4343
