ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
CEATLTD.NS,CEATLTD,CEAT Limited,Consumer Cyclical,Auto Parts,152529141760,INR,NSE,EQUITY,
CELEBRITY.NS,CELEBRITY,Celebrity Fashions Limited,Consumer Cyclical,Apparel Manufacturing,502663328,INR,NSE,EQUITY,
CELLO.NS,CELLO,Cello World Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",122911481856,INR,NSE,EQUITY,
CENTENKA.NS,CENTENKA,Century Enka Limited,Consumer Cyclical,Textile Manufacturing,9532319744,INR,NSE,EQUITY,
CHALET.NS,CHALET,Chalet Hotels Limited,Consumer Cyclical,Lodging,192207716352,INR,NSE,EQUITY,
CHEVIOT.NS,CHEVIOT,Cheviot Company Limited,Consumer Cyclical,Textile Manufacturing,6157336064,INR,NSE,EQUITY,
CIEINDIA.NS,CIEINDIA,CIE Automotive India Limited,Consumer Cyclical,Auto Parts,149601550336,INR,NSE,EQUITY,
COFFEEDAY.NS,COFFEEDAY,Coffee Day Enterprises Limited,Consumer Cyclical,Restaurants,7398034944,INR,NSE,EQUITY,
COMSYN.NS,COMSYN,Commercial Syn Bags Limited,Consumer Cyclical,Packaging & Containers,5643647488,INR,NSE,EQUITY,
COSMOFIRST.NS,COSMOFIRST,Cosmo First Limited,Consumer Cyclical,Packaging & Containers,18037192704,INR,NSE,EQUITY,
CRAFTSMAN.NS,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,Auto Parts,167919452160,INR,NSE,EQUITY,
CROMPTON.NS,CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",162556313600,INR,NSE,EQUITY,
DAMODARIND.NS,DAMODARIND,Damodar Industries Limited,Consumer Cyclical,Textile Manufacturing,711814976,INR,NSE,EQUITY,
DANGEE.NS,DANGEE,Dangee Dums Limited,Consumer Cyclical,Restaurants,565088320,INR,NSE,EQUITY,
DCMNVL.NS,DCMNVL,DCM Nouvelle Limited,Consumer Cyclical,Textile Manufacturing,2377316352,INR,NSE,EQUITY,
DELTACORP.NS,DELTACORP,Delta Corp Limited,Consumer Cyclical,Resorts & Casinos,19294681088,INR,NSE,EQUITY,
DELTAMAGNT.NS,DELTAMAGNT,Delta Manufacturing Limited,Consumer Cyclical,Textile Manufacturing,789822336,INR,NSE,EQUITY,
DEVYANI.NS,DEVYANI,Devyani International Limited,Consumer Cyclical,Restaurants,157832314880,INR,NSE,EQUITY,
DIGIDRIVE.NS,DIGIDRIVE,Digidrive Distributors Limited,Consumer Cyclical,Internet Retail,1052356992,INR,NSE,EQUITY,
DIGJAMLMTD.NS,DIGJAMLMTD,Digjam Limited,Consumer Cyclical,Textile Manufacturing,1061781248,INR,NSE,EQUITY,
DIVGIITTS.NS,DIVGIITTS,Divgi TorqTransfer Systems Limited,Consumer Cyclical,Auto Parts,18024048640,INR,NSE,EQUITY,
DOLLAR.NS,DOLLAR,Dollar Industries Limited,Consumer Cyclical,Apparel Manufacturing,20423475200,INR,NSE,EQUITY,
