ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
JKIPL.NS,JKIPL,JINKUSHAL INDUSTRIES LTD,Industrials,Farm & Heavy Construction Machinery,4094251008,INR,NSE,EQUITY,
JNKINDIA.NS,JNKINDIA,JNK India Limited,Industrials,Specialty Industrial Machinery,12668526592,INR,NSE,EQUITY,
JSWHL.NS,JSWHL,JSW Holdings Limited,Industrials,Conglomerates,233947742208,INR,NSE,EQUITY,
JSWINFRA.NS,JSWINFRA,JSW Infrastructure Limited,Industrials,Marine Shipping,568533843968,INR,NSE,EQUITY,
JWL.NS,JWL,Jupiter Wagons Limited,Industrials,Railroads,111536865280,INR,NSE,EQUITY,
JYOTICNC.NS,JYOTICNC,Jyoti CNC Automation Limited,Industrials,Specialty Industrial Machinery,214801121280,INR,NSE,EQUITY,
JYOTISTRUC.NS,JYOTISTRUC,Jyoti Structures Limited,Industrials,Specialty Industrial Machinery,12173382656,INR,NSE,EQUITY,
KABRAEXTRU.NS,KABRAEXTRU,Kabra Extrusiontechnik Limited,Industrials,Specialty Industrial Machinery,7854376960,INR,NSE,EQUITY,
KAJARIACER.NS,KAJARIACER,Kajaria Ceramics Limited,Industrials,Building Products & Equipment,173320093696,INR,NSE,EQUITY,
KAPSTON.NS,KAPSTON,Kapston Services Limited,Industrials,Specialty Business Services,6182806016,INR,NSE,EQUITY,
KAUSHALYA.NS,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Industrials,Engineering & Construction,323453024,INR,NSE,EQUITY,
KEC.NS,KEC,KEC International Limited,Industrials,Engineering & Construction,187830714368,INR,NSE,EQUITY,
KECL.NS,KECL,Kirloskar Electric Company Limited,Industrials,Specialty Industrial Machinery,6852847104,INR,NSE,EQUITY,
KEI.NS,KEI,KEI Industries Limited,Industrials,Electrical Equipment & Parts,397501235200,INR,NSE,EQUITY,
KHAITANLTD.NS,KHAITANLTD,Khaitan (India) Limited,Industrials,Industrial Distribution,484931392,INR,NSE,EQUITY,
KIRLOSBROS.NS,KIRLOSBROS,Kirloskar Brothers Limited,Industrials,Specialty Industrial Machinery,130964021248,INR,NSE,EQUITY,
KIRLOSENG.NS,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,Specialty Industrial Machinery,178336169984,INR,NSE,EQUITY,
KIRLOSIND.NS,KIRLOSIND,Kirloskar Industries Limited,Industrials,Metal Fabrication,35587817472,INR,NSE,EQUITY,
KIRLPNU.NS,KIRLPNU,Kirloskar Pneumatic Company Limited,Industrials,Specialty Industrial Machinery,67770957824,INR,NSE,EQUITY,
KMEW.NS,KMEW,Knowledge Marine & Engineering Works Limited,Industrials,Marine Shipping,45382193152,INR,NSE,EQUITY,
KNRCON.NS,KNRCON,KNR Constructions Limited,Industrials,Engineering & Construction,40593399808,INR,NSE,EQUITY,
KOKUYOCMLN.NS,KOKUYOCMLN,Kokuyo Camlin Limited,Industrials,Business Equipment & Supplies,9007670272,INR,NSE,EQUITY,
KOTHARIPRO.NS,KOTHARIPRO,Kothari Products Limited,Industrials,Conglomerates,4402567168,INR,NSE,EQUITY,
KPEL.NS,KPEL,K.P. Energy Limited,Industrials,Engineering & Construction,22962497536,INR,NSE,EQUITY,
KPIL.NS,KPIL,Kalpataru Projects International Limited,Industrials,Engineering & Construction,197703368704,INR,NSE,EQUITY,
KRITI.NS,KRITI,Kriti Industries (India) Limited,Industrials,Building Products & Equipment,4670446080,INR,NSE,EQUITY,
KRYSTAL.NS,KRYSTAL,KRYSTAL INTEGRATED SER L,Industrials,Specialty Business Services,7250046976,INR,NSE,EQUITY,
KSB.NS,KSB,KSB Limited,Industrials,Specialty Industrial Machinery,128641089536,INR,NSE,EQUITY,
KSHITIJPOL.NS,KSHITIJPOL,Kshitij Polyline Limited,Industrials,Business Equipment & Supplies,219831184,INR,NSE,EQUITY,
LAKPRE.NS,LAKPRE,Lakshmi Precision Screws Limited,Industrials,Tools & Accessories,120500440,INR,NSE,EQUITY,
LATENTVIEW.NS,LATENTVIEW,Latent View Analytics Limited,Industrials,Consulting Services,100213760000,INR,NSE,EQUITY,
LATTEYS.NS,LATTEYS,Latteys Industries Limited,Industrials,Specialty Industrial Machinery,1266058112,INR,NSE,EQUITY,
LEXUS.NS,LEXUS,Lexus Granito (India) Limited,Industrials,Building Products & Equipment,529804608,INR,NSE,EQUITY,
LINC.NS,LINC,Linc Limited,Industrials,Business Equipment & Supplies,6670181888,INR,NSE,EQUITY,
LLOYDSENGG.NS,LLOYDSENGG,Lloyds Engineering Works Limited,Industrials,Specialty Industrial Machinery,80021422080,INR,NSE,EQUITY,
LMW.NS,LMW,LMW Limited,Industrials,Specialty Industrial Machinery,162381594624,INR,NSE,EQUITY,
LOKESHMACH.NS,LOKESHMACH,Lokesh Machines Limited,Industrials,Specialty Industrial Machinery,3325217792,INR,NSE,EQUITY,
LOTUSDEV.NS,LOTUSDEV,SRI LOTUS DEVLPRS N RTY L,Industrials,Engineering & Construction,76402180096,INR,NSE,EQUITY,
LT.NS,LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,5590086057984,INR,NSE,EQUITY,
MACPOWER.NS,MACPOWER,Macpower CNC Machines Limited,Industrials,Specialty Industrial Machinery,10045176832,INR,NSE,EQUITY,
MADHAV.NS,MADHAV,Madhav Marbles and Granites Limited,Industrials,Building Products & Equipment,374789824,INR,NSE,EQUITY,
MADHUCON.NS,MADHUCON,Madhucon Projects Limited,Industrials,Engineering & Construction,448673248,INR,NSE,EQUITY,
MAHEPC.NS,MAHEPC,Mahindra EPC Irrigation Limited,Industrials,Farm & Heavy Construction Machinery,3507897344,INR,NSE,EQUITY,
MAHESHWARI.NS,MAHESHWARI,Maheshwari Logistics Limited,Industrials,Integrated Freight & Logistics,1467725184,INR,NSE,EQUITY,
MAHLOG.NS,MAHLOG,Mahindra Logistics Limited,Industrials,Integrated Freight & Logistics,31589074944,INR,NSE,EQUITY,
MALLCOM.NS,MALLCOM,Mallcom (India) Limited,Industrials,Security & Protection Services,7220303872,INR,NSE,EQUITY,
MAMATA.NS,MAMATA,MAMATA MACHINERY LIMITED,Industrials,Specialty Industrial Machinery,10432477184,INR,NSE,EQUITY,
