ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
BODALCHEM.NS,BODALCHEM,Bodal Chemicals Limited,Basic Materials,Specialty Chemicals,6673051648,INR,NSE,EQUITY,
BOHRAIND.NS,BOHRAIND,Bohra Industries Limited,Basic Materials,Agricultural Inputs,199455840,INR,NSE,EQUITY,
BSHSL.NS,BSHSL,Bombay Super Hybrid Seeds Limited,Basic Materials,Agricultural Inputs,10708849664,INR,NSE,EQUITY,
BVCL.NS,BVCL,Barak Valley Cements Limited,Basic Materials,Building Materials,971917312,INR,NSE,EQUITY,
CAMLINFINE.NS,CAMLINFINE,Camlin Fine Sciences Limited,Basic Materials,Specialty Chemicals,30618603520,INR,NSE,EQUITY,
CENTEXT.NS,CENTEXT,Century Extrusions Limited,Basic Materials,Aluminum,1712055040,INR,NSE,EQUITY,
CENTURYPLY.NS,CENTURYPLY,Century Plyboards (India) Limited,Basic Materials,Lumber & Wood Production,184562778112,INR,NSE,EQUITY,
CHAMBLFERT.NS,CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs,178610782208,INR,NSE,EQUITY,
CHEMBOND.NS,CHEMBOND,Chembond Material Technologies Limited,Basic Materials,Specialty Chemicals,2194626048,INR,NSE,EQUITY,
CHEMBONDCH.NS,CHEMBONDCH,Chembond Chemicals Limited,Basic Materials,Specialty Chemicals,4234327808,INR,NSE,EQUITY,
CHEMCON.NS,CHEMCON,Chemcon Speciality Chemicals Limited,Basic Materials,Specialty Chemicals,7399767552,INR,NSE,EQUITY,
CHEMFAB.NS,CHEMFAB,Chemfab Alkalis Limited,Basic Materials,Specialty Chemicals,6501944320,INR,NSE,EQUITY,
CHEMPLASTS.NS,CHEMPLASTS,Chemplast Sanmar Limited,Basic Materials,Chemicals,40531390464,INR,NSE,EQUITY,
CLEAN.NS,CLEAN,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals,95622275072,INR,NSE,EQUITY,
COROMANDEL.NS,COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs,683554308096,INR,NSE,EQUITY,
CUBEXTUB.NS,CUBEXTUB,Cubex Tubings Limited,Basic Materials,Copper,1375024256,INR,NSE,EQUITY,
